longitude,latitude
-2.972152,53.212242
-4.258982,52.967692
-3.644616,52.94619
-3.806557,53.322118
-3.082571,53.061559
-3.201023,53.274619
-3.757916,53.29965
-3.570932,53.284064
-3.260493,53.270769
-3.001076,53.045983
-3.595142,52.912197
-3.488583,53.319596
-3.079016,53.173611
-3.602343,53.243533
-3.134904,53.246968
-4.347207,53.343218
-3.066647,53.051841
-3.055864,53.050769
-2.999432,53.055517
-3.814915,53.178587
-3.034304,53.064991
-3.301571,53.011296
-3.441322,53.300453
-3.323496,53.287454
-3.098643,53.117849
-3.201704,53.253451
-4.355563,53.310299
-3.335704,53.134268
-3.336709,53.195009
-3.411103,53.236377
-4.191359,53.263027
-3.680666,53.293644
-3.324942,53.151765
-3.033864,53.118258
-3.486427,53.318032
-3.05174,53.216968
-3.768887,53.314196
-3.709341,53.28955
-3.019457,53.072688
-3.830424,53.324073
-2.989163,53.045598
-3.43649,53.223506
-2.895947,53.03625
-3.317722,53.286052
-3.332633,53.003993
-3.91137,52.66648
-3.056716,53.008743
-4.626772,53.304533
-4.126553,53.228921
-3.105394,53.149771
-2.897971,52.99873
-3.850815,52.620076
-3.409239,53.19056
-3.812886,53.284757
-4.021303,52.706618
-3.468138,53.290373
-4.17821,53.202265
-3.488687,53.319577
-3.473816,53.287525
-3.598688,52.910351
-2.981756,53.058388
-3.124615,53.164892
-3.090536,53.210156
-2.982145,53.169873
-3.472865,53.319171
-3.589966,53.292478
-3.310998,53.259481
-2.93833,53.060213
-3.051716,53.004787
-3.013686,53.197378
-2.99176,53.054745
-3.436573,53.313654
-3.054274,53.190877
-2.999006,53.040355
-2.742588,52.964023
-2.960781,53.106159
-3.467911,53.305622
-3.594692,53.207838
-3.136025,53.246274
-3.209098,53.254131
-4.121363,53.117815
-3.788479,53.320322
-3.994733,53.248553
-3.445219,53.23986
-2.97348,53.061243
-3.470534,53.323866
-2.966034,53.188568
-3.276492,53.064069
-3.305954,53.273525
-2.982468,53.168307
-3.129433,53.242947
-3.06978,53.09099
-3.413624,53.185986
-3.045816,53.009774
-3.022256,53.051593
-3.381608,53.256167
-3.413818,53.215524
-3.1118,53.166217
-3.05101,53.215285
-2.934522,53.177214
-3.4929,53.315947
-2.934492,53.177224
-2.983739,53.055675
-3.412843,53.186364
-3.006756,53.161649
-4.306751,53.259195
-3.726983,53.294699
-3.310452,53.114447
-3.40938,53.338915
-3.742333,53.299124
-3.75519,53.158769
-4.044583,52.69827
-2.999371,53.082559
-4.134319,53.227209
-4.246172,53.192156
-2.984246,53.039319
-3.049909,53.216203
-2.967539,53.03586
-3.885079,53.051774
-3.993747,53.249594
-3.271568,53.281654
-3.069445,53.187011
-2.733159,52.965547
-3.366,53.33791
-2.989978,53.101344
-3.018905,53.044223
-4.26108,53.135221
-3.8192,53.317188
-3.484676,53.312579
-3.067792,52.978636
-3.473845,53.287497
-3.141667,53.166554
-3.89416,53.283269
-3.042798,53.136735
-3.042906,53.189332
-3.45231,53.260289
-3.85924,53.216976
-3.739212,53.306532
-3.03604,53.063978
-3.574298,53.2842
-4.217094,53.209181
-4.08727,53.105687
-3.48173,53.313335
-4.210404,53.1755
-3.078764,53.191601
-2.940091,53.0335
-4.066707,52.929968
-4.122261,53.227874
-3.019755,53.071373
-3.672274,53.290444
-4.132732,53.229953
-2.945989,53.179506
-3.781927,53.121377
-4.0834,53.214382
-3.284736,53.015102
-3.119344,53.207183
-4.119069,53.275465
-4.173008,53.240904
-3.585722,53.284839
-3.46459,52.967092
-3.680591,53.291739
-3.484177,53.324155
-3.058394,53.077904
-3.729279,52.944781
-3.65317,53.0662
-4.264625,52.976225
-3.517459,53.304094
-3.410568,53.18818
-3.082624,53.168355
-4.237295,52.918911
-4.11955,53.233056
-2.926973,53.039311
-4.402135,52.975512
-4.176522,53.170441
-3.022832,53.206801
-2.980832,53.17001
-3.418147,53.324311
-3.260439,53.132679
-3.126572,53.165359
-3.036982,53.205582
-2.998388,53.054267
-3.835447,52.761798
-3.086013,53.229678
-3.827637,53.323172
-3.193165,53.242839
-3.828343,52.734081
-2.974257,53.043437
-3.008928,53.076913
-2.9394,53.038063
-3.739972,53.245838
-2.973016,53.040652
-3.029794,53.025431
-3.798047,53.245398
-3.679236,53.28702
-3.035932,53.056329
-4.608809,53.301672
-3.570542,53.285292
-3.920679,53.11377
-3.175401,52.930819
-4.237921,52.925561
-4.501041,53.273969
-3.055349,53.057165
-3.067025,52.975892
-3.169493,53.069708
-3.720864,53.290688
-3.245041,53.230793
-3.058262,53.219706
-3.831164,53.306999
-3.569338,53.284768
-3.742003,53.295083
-3.076104,53.133751
-4.164644,53.204059
-3.826693,53.322854
-4.254645,53.053991
-3.472125,53.310757
-3.30722,53.009328
-3.834428,53.247631
-3.698618,53.289641
-3.39808,53.340136
-3.057945,52.937677
-3.902864,53.102198
-3.16318,53.264998
-3.646252,53.286797
-3.380475,53.173438
-4.321211,53.197262
-4.424291,52.965252
-3.413133,53.336606
-3.412797,53.341868
-4.234604,53.088284
-3.524579,53.284477
-3.79309,53.135378
-2.980579,53.045983
-3.044188,53.008998
-3.212005,53.05017
-3.023884,53.157935
-3.775945,53.065806
-3.409133,53.301342
-3.025426,53.087686
-3.307883,53.273827
-3.435139,53.31297
-2.978565,53.051232
-2.977025,53.035243
-3.748847,53.307236
-3.484703,53.312498
-4.128055,53.199396
-3.791385,53.280722
-4.131396,53.22567
-3.076587,53.221808
-3.198762,52.979923
-4.311301,53.074519
-3.035149,53.0579
-3.445184,53.240157
-3.416446,53.298783
-3.935703,52.754549
-3.699205,53.169758
-3.67156,53.290239
-3.490094,53.320315
-2.987168,53.040544
-3.839435,53.274893
-4.445696,53.292156
-3.520027,53.310489
-4.112279,53.230542
-4.467689,53.408292
-3.975553,53.253565
-3.368745,53.340144
-3.842523,53.289481
-3.778208,53.310173
-3.506993,53.276223
-2.916977,53.093263
-3.751573,53.299033
-3.077979,53.227108
-3.043251,53.049262
-3.473867,53.319518
-3.826323,53.312782
-3.404968,53.338122
-3.403524,53.330741
-4.636988,53.311006
-4.282608,53.053943
-3.902634,53.102058
-3.960099,52.946771
-3.024022,53.20582
-3.275316,53.125778
-3.829916,53.280964
-3.413962,53.326231
-3.421001,53.327505
-4.155441,53.143906
-3.389967,53.338226
-3.439577,53.255688
-4.213239,53.275264
-2.968519,53.061607
-3.872067,52.688785
-2.863836,52.983161
-2.90465,53.071576
-3.072999,53.225076
-3.094273,53.209897
-3.811491,53.2837
-4.637533,52.883665
-4.26993,53.134064
-3.411275,53.186922
-4.262061,53.14449
-3.812127,53.284203
-3.383516,53.265593
-3.147095,53.181614
-3.13743,53.243294
-4.393865,52.938831
-2.989343,53.045641
-3.291516,53.274158
-3.223848,53.277227
-3.011087,53.055005
-2.943964,53.110393
-3.043643,52.939412
-3.032329,53.048548
-3.12132,53.069983
-3.505539,53.247232
-3.803226,53.092187
-4.285902,53.287163
-3.266461,53.224562
-4.231716,53.145
-4.355511,53.310174
-4.330646,53.254127
-2.966135,53.025758
-3.202204,52.979403
-3.043803,52.985655
-3.439651,53.230219
-3.81654,53.318559
-4.269843,53.13581
-4.220693,53.300983
-2.974833,53.165403
-4.266541,53.14267
-3.795819,53.075703
-3.258184,53.270281
-3.932754,52.755883
-2.990397,53.042153
-3.834238,53.318126
-3.185224,53.244527
-3.314023,53.334142
-4.104795,53.203217
-4.316485,53.235675
-4.478937,53.266302
-3.022214,53.163199
-3.334575,53.34063
-3.42466,53.329591
-4.108868,53.131218
-3.420281,53.225291
-3.088246,53.070623
-3.146864,52.96846
-3.902453,53.102024
-2.986396,53.044614
-4.274615,53.13954
-3.03685,53.208793
-3.001121,53.046028
-3.488702,53.31955
-2.795817,52.981182
-4.269596,53.271651
-3.02074,53.077685
-4.377361,52.902747
-3.483562,53.321133
-4.096487,52.785596
-2.954176,53.03381
-3.560747,52.923883
-3.389983,53.338253
-3.073051,53.217552
-2.959207,53.189127
-3.418921,53.183693
-3.426336,53.201926
-3.133665,53.252238
-3.080616,53.17001
-3.001237,53.060689
-3.170593,52.971528
-3.046258,53.189896
-3.193158,52.999784
-3.644085,53.290917
-3.059367,52.943499
-3.838998,52.6314
-3.555957,53.299211
-3.489598,53.319008
-2.954714,53.20449
-3.40439,53.334695
-3.305316,53.278674
-2.746238,52.963308
-4.289266,53.175754
-4.048175,52.719994
-3.926707,53.101553
-3.170447,52.968887
-3.80485,53.237159
-2.992532,53.042918
-3.025217,53.204453
-3.793667,53.139882
-3.073317,53.188639
-4.11676,53.195021
-3.750386,53.056808
-3.835876,53.299266
-3.702087,53.290112
-3.138187,53.237947
-3.568961,53.276116
-2.972475,53.105426
-3.439519,53.23031
-3.482803,53.322195
-3.188833,53.192523
-4.212319,52.925034
-3.360839,52.980129
-3.720668,53.294008
-3.22506,53.262957
-3.26029,53.022807
-2.994343,53.045132
-4.412318,52.891962
-4.555216,53.281424
-3.059367,53.191047
-2.932036,53.170186
-3.073651,53.188852
-3.236966,52.892211
-3.059859,52.949014
-3.425669,53.308966
-3.517695,53.30481
-3.975072,53.250606
-3.944974,52.99415
-2.95051,53.060368
-4.21004,53.221387
-3.262207,53.314691
-2.991723,53.055096
-3.798912,53.087919
-3.795675,53.085136
-3.028846,53.027605
-3.040123,52.983143
-4.404865,53.20507
-2.980602,53.045012
-3.050697,52.935143
-3.41955,53.335801
-3.001756,53.094603
-3.715703,53.046201
-3.222202,53.295763
-3.178743,52.977714
-3.707811,53.045811
-3.501655,53.266438
-3.567895,53.116108
-4.245701,53.315925
-4.178504,52.925686
-3.950958,52.989718
-4.219942,53.309358
-3.005149,53.196533
-3.224122,53.273701
-3.085947,52.973249
-4.317897,53.257073
-3.830595,53.324556
-3.086297,53.208352
-3.605738,53.236538
-3.988745,52.943706
-3.469617,53.308559
-3.054607,53.097661
-3.492194,53.322392
-4.134643,53.226493
-3.665014,52.867661
-3.26057,53.283578
-3.473316,53.288241
-2.938204,53.029676
-3.041637,53.058436
-3.596365,53.252037
-3.038542,52.984271
-2.969422,53.054651
-3.753008,53.077268
-3.023421,53.206356
-2.917869,53.095854
-3.791746,53.280744
-3.142211,53.225871
-4.089604,52.586315
-4.268316,53.114215
-3.53955,53.134926
-3.956497,52.942497
-4.479655,53.231536
-3.051002,53.211312
-3.582744,53.293563
-3.947222,52.962978
-2.996996,53.046971
-3.40953,53.31661
-3.482481,53.317245
-4.237712,53.134341
-4.1711,53.228379
-4.617342,53.301782
-3.170217,52.97137
-3.769001,52.736132
-3.111292,53.154652
-4.276712,53.141882
-3.316379,53.112853
-4.481277,53.270453
-3.550875,53.281963
-3.044555,52.952602
-3.052081,53.082257
-3.500159,53.314921
-3.53112,53.305888
-3.421831,53.183425
-3.469408,53.315142
-3.513032,53.313014
-4.303749,53.046603
-3.558279,53.028661
-3.089668,53.206038
-3.075113,52.968133
-3.272371,52.974798
-3.218103,53.281403
-3.486686,53.322479
-2.990189,53.040887
-3.859989,52.695997
-2.974014,53.058488
-4.128384,53.224762
-3.009996,53.070225
-3.740164,53.308901
-4.394979,52.896737
-2.920833,53.179371
-3.407883,53.194378
-3.07159,53.21182
-3.608854,53.288827
-3.507429,52.945645
-3.164079,53.183256
-3.495188,53.317419
-3.852801,53.289511
-4.076098,52.625692
-3.665014,52.867661
-4.256554,53.051959
-3.422841,53.183656
-4.457718,52.928652
-4.471215,52.864665
-4.044421,52.543917
-4.084595,53.198267
-3.707866,53.292799
-3.747815,53.195549
-3.022627,53.206965
-4.384699,52.927488
-3.379594,53.009157
-2.983269,53.213778
-3.880621,53.289237
-3.797666,53.266693
-4.312376,53.073392
-2.965946,53.036673
-3.539208,53.135002
-3.53605,52.935991
-3.772154,52.936651
-4.007991,52.549378
-3.178156,53.196692
-3.236887,53.047469
-3.428237,53.335077
-4.540145,53.354325
-4.170458,53.206803
-4.334024,53.250644
-3.464914,52.967007
-3.496524,53.267626
-3.024096,53.205793
-3.036788,53.202474
-3.889343,52.772209
-4.09866,53.191349
-3.309465,53.270645
-3.404161,53.32774
-2.995364,53.164442
-3.18832,53.241053
-3.066792,53.056506
-3.045313,52.985884
-2.962771,53.187894
-3.674774,52.858371
-3.044003,52.94821
-4.066429,52.929757
-3.300705,53.27351
-3.009509,53.053886
-4.055964,52.822854
-3.931388,52.748775
-3.020256,53.111508
-3.840808,53.315211
-3.14467,53.086545
-3.732981,53.296824
-2.991724,53.05515
-3.056323,53.007299
-3.649799,53.290452
-4.147817,52.937826
-3.079135,53.14496
-3.186982,53.277726
-3.439475,53.230329
-3.186412,53.27881
-3.474361,52.963231
-3.011011,53.054278
-4.467383,52.87202
-3.945336,52.967082
-3.17992,52.973342
-3.256162,53.223286
-3.808029,53.304034
-3.452607,53.329623
-3.043168,52.930831
-3.205646,53.053795
-3.466733,53.303659
-3.006643,53.05507
-4.102803,52.630742
-3.104996,53.140075
-4.501278,53.224592
-3.389863,53.338254
-4.407029,52.893373
-4.244115,53.164538
-3.029712,53.115229
-3.517323,53.303646
-4.216505,53.282432
-3.04607,52.984511
-3.081577,53.193329
-3.136197,53.104416
-4.089714,52.9248
-3.579784,53.030751
-3.793423,53.292855
-3.804536,53.283832
-4.216939,53.116505
